samples,energies
[C][C][C][C][C][=C][C][=C][C][=C][C][=C][C][=C][C][=C][C][=C][Ring1][=C][C][Ring1][N][=C][Ring1][#Branch2][Ring1][=Branch1];0,6.9455
[C][C][=C][N][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][C][=Branch1][C][=O][NH1][C][Ring1][O][=O];0,9.8381
[O][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][Ring1][#Branch2][C][=C][C][=C][Branch1][=Branch2][C][N][C][=N][C][=N][Ring1][Branch1][C][=C][Ring1][N];0,8.0295
[C][O][C][=C][C][=C][N][=C][Branch1][C][N][S][C][Ring1][=Branch1][=C][Ring1][#Branch2];0,7.5633
[O][=C][C][=C][C][Branch1][#C][C][=C][S][C][=C][C][=C][C][=C][Ring1][=Branch1][N][Ring1][#Branch2][=C][C][=C][Ring1][S][O][C][=C][C][=C][Branch2][Ring1][#Branch1][C][=C][C][=C][C][Branch1][Branch2][C][=N][C][=C][NH1][Ring1][Branch1][=C][C][=C][Ring1][O][O][Ring1][=C][C][=C][Ring2][Ring2][=Branch1][Ring2][Ring1][Ring2];0,6.0418
[C][C][C][=C][C][=C][Branch1][S][N][C][=C][C][=C][C][=C][C][=C][C][Ring1][=Branch1][=N][Ring1][#Branch2][C][=C][Ring1][P];0,6.9851
[C][S][C][=C][C][=C][C][=C][C][=C][Branch2][Ring1][#Branch1][C][=C][N][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][=C][C][=C][Ring2][Ring1][#Branch2][Ring2][Ring1][=Branch1];0,6.0017
[C][C][N][C][=C][C][=C][C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][=C][C][=Branch1][C][=O][O][C][Ring1][O][=C][Ring1][#C];0,8.3836
[N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O];0,8.3498
[C][C][C][C][C][C][C][Branch1][#Branch1][C][C][C][C][C][C][N][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Branch1][=N][C][=C][C][=C][Branch1][Ring1][O][C][C][=C][Ring1][Branch2][C][=C][C][=Branch1][#Branch1][=C][Ring2][Ring1][C][Ring1][=C][C][Ring2][Ring1][=Branch1][=O];0,7.2418
